	playerID	yearID_x	stint	teamID_x	lgID_x	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP	yearID_y	teamID_y	lgID_y	G_all	GS	G_batting	G_defense	G_p	G_c	G_1b	G_2b	G_3b	G_ss	G_lf	G_cf	G_rf	G_of	G_dh	G_ph	G_pr
194	bulliki01	2004	1	HOU	NL	27	3	0	0	0	0	0	0.0	0.0	0.0	1	2.0	0.0	0.0	0.0	0.0	0.0	2004	HOU	NL	27	0.0	26	27.0	27	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
195	bumpna01	2004	1	FLO	NL	50	5	0	0	0	0	0	0.0	0.0	0.0	0	2.0	0.0	0.0	0.0	0.0	0.0	2004	FLO	NL	50	2.0	49	50.0	50	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0
196	burbada01	2004	1	MIL	NL	45	3	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	MIL	NL	45	0.0	43	45.0	45	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
200	burkech01	2004	1	HOU	NL	17	17	2	1	0	0	0	0.0	0.0	0.0	3	3.0	0.0	0.0	0.0	0.0	0.0	2004	HOU	NL	17	2.0	17	7.0	0	0	0	7	0	0	0	0	0	0	0.0	10.0	2.0
201	burkeja02	2004	1	CHA	AL	57	120	22	40	9	0	0	15.0	0.0	0.0	10	13.0	0.0	1.0	1.0	1.0	3.0	2004	CHA	AL	57	35.0	57	51.0	0	45	2	0	2	0	0	0	2	2	3.0	6.0	1.0
202	burksel01	2004	1	BOS	AL	11	33	6	6	0	0	1	1.0	2.0	0.0	3	8.0	0.0	1.0	0.0	0.0	1.0	2004	BOS	AL	11	8.0	11	0.0	0	0	0	0	0	0	0	0	0	0	9.0	3.0	0.0
203	burneaj01	2004	1	FLO	NL	20	29	4	4	0	0	0	1.0	0.0	0.0	0	11.0	0.0	0.0	8.0	0.0	1.0	2004	FLO	NL	20	19.0	18	20.0	20	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
204	burnese01	2004	1	PIT	NL	13	23	0	0	0	0	0	0.0	0.0	0.0	2	6.0	0.0	0.0	2.0	0.0	0.0	2004	PIT	NL	13	13.0	13	13.0	13	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
205	burnije01	2004	1	COL	NL	150	540	94	153	30	4	37	110.0	5.0	6.0	58	124.0	7.0	5.0	0.0	3.0	7.0	2004	COL	NL	150	140.0	150	143.0	0	0	0	0	0	0	21	69	79	143	3.0	9.0	0.0
206	burrepa01	2004	1	PHI	NL	127	448	66	115	17	0	24	84.0	2.0	0.0	78	130.0	7.0	2.0	0.0	6.0	10.0	2004	PHI	NL	127	121.0	127	122.0	0	0	0	0	0	0	122	0	0	122	0.0	5.0	0.0
207	burrose01	2004	1	SDN	NL	130	523	76	156	23	3	2	47.0	5.0	4.0	31	52.0	4.0	9.0	1.0	0.0	6.0	2004	SDN	NL	130	119.0	130	125.0	0	0	0	0	125	0	0	0	0	0	0.0	6.0	1.0
208	bushda01	2004	1	TOR	AL	16	2	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2004	TOR	AL	16	16.0	1	16.0	16	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
209	bushho01	2004	1	NYA	AL	9	7	2	0	0	0	0	0.0	1.0	0.0	0	2.0	0.0	1.0	0.0	0.0	1.0	2004	NYA	AL	9	2.0	9	4.0	0	0	0	4	0	0	0	0	0	0	2.0	0.0	6.0
211	byrdma01	2004	1	PHI	NL	106	346	48	79	13	2	5	33.0	2.0	2.0	22	68.0	1.0	7.0	2.0	1.0	10.0	2004	PHI	NL	106	86.0	106	92.0	0	0	0	0	0	0	0	92	0	92	0.0	12.0	3.0
212	byrdpa01	2004	1	ATL	NL	19	30	2	6	0	0	0	4.0	0.0	0.0	5	7.0	0.0	0.0	8.0	0.0	0.0	2004	ATL	NL	19	19.0	18	19.0	19	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
213	byrneer01	2004	1	OAK	AL	143	569	91	161	39	3	20	73.0	17.0	1.0	46	111.0	0.0	12.0	0.0	5.0	11.0	2004	OAK	AL	143	137.0	143	141.0	0	0	0	0	0	0	109	33	20	141	1.0	2.0	3.0
214	cabreda01	2004	1	BAL	AL	28	4	0	0	0	0	0	0.0	0.0	0.0	0	4.0	0.0	0.0	0.0	0.0	0.0	2004	BAL	AL	28	27.0	3	28.0	28	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
216	cabrejo02	2004	1	SEA	AL	113	359	38	97	19	2	6	47.0	10.0	3.0	16	70.0	1.0	8.0	3.0	5.0	13.0	2004	SEA	AL	113	90.0	113	105.0	0	0	23	18	36	14	21	1	1	23	5.0	6.0	7.0
217	cabremi01	2004	1	FLO	NL	160	603	101	177	31	1	33	112.0	5.0	2.0	68	148.0	5.0	6.0	0.0	8.0	20.0	2004	FLO	NL	160	159.0	160	158.0	0	0	0	0	0	0	59	0	100	158	1.0	1.0	0.0
218	cabreor01	2004	1	MON	NL	103	390	41	96	19	2	4	31.0	12.0	3.0	28	31.0	0.0	2.0	2.0	3.0	12.0	2004	BOS	AL	58	58.0	58	57.0	0	0	0	0	0	57	0	0	0	0	0.0	0.0	0.0
222	cairomi01	2004	1	NYA	AL	122	360	48	105	17	5	6	42.0	11.0	3.0	18	49.0	1.0	14.0	12.0	4.0	7.0	2004	NYA	AL	122	103.0	122	122.0	0	0	1	113	8	3	0	0	0	0	0.0	2.0	1.0
223	calerki01	2004	1	SLN	NL	41	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	SLN	NL	41	0.0	38	41.0	41	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
226	calloro01	2004	1	MON	NL	46	84	4	14	2	0	1	10.0	2.0	0.0	5	22.0	0.0	0.0	1.0	1.0	3.0	2004	MON	NL	46	15.0	46	20.0	0	0	0	0	0	0	6	0	15	20	0.0	28.0	0.0
227	camermi01	2004	1	NYN	NL	140	493	76	114	30	1	30	76.0	22.0	6.0	57	143.0	2.0	8.0	1.0	3.0	5.0	2004	NYN	NL	140	132.0	140	135.0	0	0	0	0	0	0	0	135	0	135	0.0	2.0	3.0
229	cantujo01	2004	1	TBA	AL	50	173	25	52	20	1	2	17.0	0.0	0.0	9	44.0	0.0	2.0	0.0	1.0	5.0	2004	TBA	AL	50	46.0	50	45.0	0	0	0	33	11	1	0	0	0	0	4.0	1.0	2.0
230	capeljo01	2004	1	ATL	NL	3	2	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	ATL	NL	3	2.0	3	3.0	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
231	capuach01	2004	1	MIL	NL	17	30	0	6	2	0	0	2.0	0.0	0.0	1	10.0	0.0	1.0	0.0	0.0	0.0	2004	MIL	NL	17	17.0	17	17.0	17	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
232	carpech01	2004	1	SLN	NL	28	62	1	5	0	0	0	1.0	0.0	0.0	1	21.0	0.0	0.0	4.0	0.0	0.0	2004	SLN	NL	28	28.0	27	28.0	28	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
234	carragi01	2004	1	LAN	NL	42	2	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	LAN	NL	42	0.0	41	42.0	42	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
235	carroja01	2004	1	MON	NL	102	218	36	63	14	2	0	16.0	5.0	1.0	32	21.0	1.0	1.0	2.0	3.0	3.0	2004	MON	NL	102	51.0	102	69.0	0	0	0	51	13	10	2	0	0	2	0.0	34.0	3.0
237	caseyse01	2004	1	CIN	NL	146	571	101	185	44	2	24	99.0	2.0	0.0	46	36.0	5.0	10.0	0.0	6.0	16.0	2004	CIN	NL	146	143.0	146	145.0	0	0	145	0	0	0	0	0	0	0	1.0	2.0	0.0
238	cashke01	2004	1	TOR	AL	60	181	18	35	9	0	4	21.0	0.0	0.0	10	59.0	0.0	4.0	0.0	2.0	3.0	2004	TOR	AL	60	50.0	60	60.0	0	60	0	0	0	0	0	0	0	0	0.0	1.0	0.0
239	castial01	2004	1	KCA	AL	29	89	12	24	6	0	1	11.0	0.0	2.0	14	10.0	0.0	0.0	1.0	1.0	1.0	2004	KCA	AL	29	28.0	29	29.0	0	29	0	0	0	0	0	0	0	0	0.0	0.0	0.0
241	castijo02	2004	1	PIT	NL	129	383	44	98	15	2	8	39.0	3.0	2.0	23	92.0	5.0	1.0	5.0	2.0	12.0	2004	PIT	NL	129	105.0	129	124.0	0	0	0	123	0	2	0	0	0	0	0.0	4.0	1.0
242	castilu01	2004	1	FLO	NL	150	564	91	164	12	7	2	47.0	21.0	4.0	75	68.0	2.0	1.0	5.0	4.0	15.0	2004	FLO	NL	150	147.0	150	148.0	0	0	0	148	0	0	0	0	0	0	0.0	2.0	1.0
243	castivi02	2004	1	COL	NL	148	583	93	158	43	3	35	131.0	0.0	0.0	51	113.0	6.0	6.0	0.0	8.0	22.0	2004	COL	NL	148	147.0	148	148.0	0	0	0	0	148	0	0	0	0	0	0.0	1.0	0.0
244	castrju01	2004	1	CIN	NL	111	299	36	73	21	2	5	26.0	1.0	0.0	14	51.0	1.0	0.0	2.0	1.0	11.0	2004	CIN	NL	111	66.0	111	107.0	0	0	4	12	78	31	0	0	0	0	0.0	13.0	3.0
245	castrra01	2004	1	FLO	NL	32	96	9	13	3	0	3	8.0	0.0	0.0	11	30.0	2.0	1.0	0.0	0.0	1.0	2004	FLO	NL	32	27.0	32	31.0	0	31	0	0	0	0	0	0	0	0	0.0	1.0	1.0
246	castrra02	2004	1	OAK	AL	9	15	2	2	1	0	0	3.0	0.0	0.0	1	3.0	1.0	0.0	0.0	0.0	1.0	2004	OAK	AL	9	3.0	9	7.0	0	0	0	0	6	1	0	0	0	0	1.0	2.0	2.0
247	catalfr01	2004	1	TOR	AL	75	249	27	73	19	1	1	26.0	1.0	0.0	17	33.0	1.0	4.0	1.0	3.0	7.0	2004	TOR	AL	75	60.0	75	41.0	0	0	0	0	0	0	41	0	0	41	29.0	13.0	0.0
248	cedenro01	2004	1	SLN	NL	95	200	22	53	9	2	3	23.0	5.0	1.0	19	41.0	2.0	0.0	3.0	1.0	5.0	2004	SLN	NL	95	40.0	95	54.0	0	0	0	0	0	0	23	0	35	54	1.0	47.0	2.0
